Test Etmek İstediğiniz Görseli Sürükleyin veya Seçin,Yapay Zeka Analiz Sonucu,timestamp
.gradio\flagged\Test Etmek İstediğiniz Görseli Sürükleyin veya Seçin\0d5bcc716c075e29b22b\images (2).jpg,"{""label"": ""Yapay Zeka (AI) \u00dcretimi"", ""confidences"": [{""label"": ""Yapay Zeka (AI) \u00dcretimi"", ""confidence"": 0.9816286563873291}, {""label"": ""Ger\u00e7ek Foto\u011fraf"", ""confidence"": 0.018371323123574257}]}",2026-08-07 16:29:29.566371
.gradio\flagged\Test Etmek İstediğiniz Görseli Sürükleyin veya Seçin\3f133c75063a51bbf800\images (2).jpg,"{""label"": ""Yapay Zeka (AI) \u00dcretimi"", ""confidences"": [{""label"": ""Yapay Zeka (AI) \u00dcretimi"", ""confidence"": 0.9816286563873291}, {""label"": ""Ger\u00e7ek Foto\u011fraf"", ""confidence"": 0.018371323123574257}]}",2026-08-07 16:29:31.608683
